PC	eigenvalue	proportion of total	cumulative proportion
0	110.14721	0.06515	0.06515
1	92.24819	0.05457	0.11972
2	76.7814	0.04542	0.16514
3	67.72106	0.04006	0.2052
4	54.46286	0.03222	0.23741
5	51.13512	0.03025	0.26766
6	48.17182	0.02849	0.29616
7	39.80382	0.02354	0.3197
8	36.53116	0.02161	0.34131
9	32.62467	0.0193	0.36061
10	30.06622	0.01778	0.37839
11	29.2718	0.01731	0.39571
12	27.86084	0.01648	0.41219
13	26.54867	0.0157	0.42789
14	24.03539	0.01422	0.44211
15	23.09074	0.01366	0.45577
16	22.46072	0.01329	0.46906
17	21.7859	0.01289	0.48194
18	20.37323	0.01205	0.49399
19	19.83238	0.01173	0.50573
20	18.61625	0.01101	0.51674
21	17.75476	0.0105	0.52724
22	17.10037	0.01012	0.53736
23	16.60055	0.00982	0.54717
24	15.92096	0.00942	0.55659
25	15.40299	0.00911	0.5657
26	15.04968	0.0089	0.57461
27	14.75961	0.00873	0.58334
28	14.34831	0.00849	0.59182
29	13.7245	0.00812	0.59994
30	13.31958	0.00788	0.60782
31	13.04705	0.00772	0.61554
32	12.66012	0.00749	0.62303
33	12.3459	0.0073	0.63033
34	11.84257	0.00701	0.63734
35	11.78951	0.00697	0.64431
36	11.48916	0.0068	0.65111
37	11.36092	0.00672	0.65783
38	11.19606	0.00662	0.66445
39	10.83201	0.00641	0.67086
40	10.41395	0.00616	0.67702
41	10.13446	0.00599	0.68301
42	10.06893	0.00596	0.68897
43	9.8556	0.00583	0.6948
44	9.76272	0.00577	0.70057
45	9.62669	0.00569	0.70627
46	9.31162	0.00551	0.71177
47	8.93533	0.00529	0.71706
48	8.86291	0.00524	0.7223
49	8.64535	0.00511	0.72742
50	8.4543	0.005	0.73242
51	8.23705	0.00487	0.73729
52	8.09721	0.00479	0.74208
53	7.9688	0.00471	0.74679
54	7.77353	0.0046	0.75139
55	7.75384	0.00459	0.75598
56	7.62063	0.00451	0.76049
57	1.34405	7.9504E-4	0.76128
58	7.46845	0.00442	0.7657
59	7.43098	0.0044	0.77009
60	7.27793	0.00431	0.7744
61	7.22093	0.00427	0.77867
62	7.12791	0.00422	0.78289
63	1.55747	9.2128E-4	0.78381
64	7.03938	0.00416	0.78797
65	1.59194	9.4167E-4	0.78891
66	6.8733	0.00407	0.79298
67	1.73422	0.00103	0.79401
68	1.79407	0.00106	0.79507
69	6.78798	0.00402	0.79908
70	6.68521	0.00395	0.80304
71	6.6215	0.00392	0.80695
72	6.57147	0.00389	0.81084
73	1.90611	0.00113	0.81197
74	6.4505	0.00382	0.81578
75	6.4076	0.00379	0.81957
76	6.29984	0.00373	0.8233
77	6.1353	0.00363	0.82693
78	2.03689	0.0012	0.82813
79	2.09075	0.00124	0.82937
80	6.03883	0.00357	0.83294
81	5.95654	0.00352	0.83647
82	5.91339	0.0035	0.83996
83	2.22139	0.00131	0.84128
84	5.86932	0.00347	0.84475
85	5.81013	0.00344	0.84819
86	5.71932	0.00338	0.85157
87	5.7058	0.00338	0.85495
88	5.59803	0.00331	0.85826
89	5.56458	0.00329	0.86155
90	2.26651	0.00134	0.86289
91	2.3145	0.00137	0.86426
92	2.36587	0.0014	0.86566
93	2.38319	0.00141	0.86707
94	2.41206	0.00143	0.86849
95	5.45513	0.00323	0.87172
96	2.51415	0.00149	0.87321
97	5.32726	0.00315	0.87636
98	5.22281	0.00309	0.87945
99	2.67014	0.00158	0.88103
100	2.70428	0.0016	0.88263
101	5.16668	0.00306	0.88568
102	5.11355	0.00302	0.88871
103	5.0448	0.00298	0.89169
104	5.00481	0.00296	0.89465
105	4.97665	0.00294	0.8976
106	4.91513	0.00291	0.9005
107	2.74284	0.00162	0.90213
108	2.80114	0.00166	0.90378
109	2.85049	0.00169	0.90547
110	2.89849	0.00171	0.90718
111	2.93194	0.00173	0.90892
112	4.77303	0.00282	0.91174
113	2.99143	0.00177	0.91351
114	3.01631	0.00178	0.9153
115	3.0768	0.00182	0.91712
116	3.09587	0.00183	0.91895
117	4.72952	0.0028	0.92175
118	4.70145	0.00278	0.92453
119	4.63835	0.00274	0.92727
120	4.60947	0.00273	0.93
121	4.54819	0.00269	0.93269
122	4.52615	0.00268	0.93536
123	4.432	0.00262	0.93799
124	3.18087	0.00188	0.93987
125	3.19607	0.00189	0.94176
126	3.22252	0.00191	0.94366
127	3.26738	0.00193	0.9456
128	3.33321	0.00197	0.94757
129	3.36423	0.00199	0.94956
130	3.38239	0.002	0.95156
131	3.45412	0.00204	0.9536
132	4.35921	0.00258	0.95618
133	4.32668	0.00256	0.95874
134	4.27054	0.00253	0.96127
135	3.51074	0.00208	0.96334
136	4.19879	0.00248	0.96583
137	4.18586	0.00248	0.9683
138	4.09258	0.00242	0.97072
139	4.07146	0.00241	0.97313
140	4.0421	0.00239	0.97552
141	3.96543	0.00235	0.97787
142	3.92213	0.00232	0.98019
143	3.87363	0.00229	0.98248
144	3.86337	0.00229	0.98477
145	3.77985	0.00224	0.987
146	3.74931	0.00222	0.98922
147	3.69951	0.00219	0.99141
148	3.66428	0.00217	0.99357
149	3.61162	0.00214	0.99571
150	3.62585	0.00214	0.99786
151	3.62437	0.00214	1
152	1.1186E-28	6.6168E-32	1
